path,copy,elbo_Y,rmsd,gdt_ts,gdt_ha,tm,lddt
../structures/4a/4aan.A.pdb,1,-0.5865127444267273,4.376,0.4938,0.2632,0.7592,0.6023
../structures/4a/4aan.A.pdb,2,-0.599761962890625,5.136,0.4752,0.2484,0.7289,0.5881
../structures/4a/4aan.A.pdb,3,-0.5945054888725281,4.952,0.4697,0.2453,0.7281,0.5903
../structures/4a/4aan.A.pdb,4,-0.5943278670310974,5.625,0.4604,0.2298,0.7032,0.5923
../structures/4g/4gqc.C.pdb,0,-0.2929897606372833,1.453,0.8742,0.6724,0.9371,0.8278
../structures/4g/4gqc.C.pdb,1,-0.2298049032688141,1.2,0.8975,0.6957,0.9465,0.837
../structures/4g/4gqc.C.pdb,2,-0.2844204008579254,1.59,0.8618,0.6646,0.9287,0.8129
../structures/4g/4gqc.C.pdb,3,-0.27556824684143066,1.448,0.8851,0.6786,0.9395,0.8231
../structures/4g/4gqc.C.pdb,4,-0.22178678214550018,1.162,0.8975,0.6988,0.9493,0.836
../structures/4j/4j3o.F.pdb,0,-0.3882630467414856,14.193,0.612,0.4075,0.7096,0.6639
../structures/4j/4j3o.F.pdb,1,-0.36365097761154175,13.916,0.6169,0.4058,0.716,0.6509
../structures/4j/4j3o.F.pdb,2,-0.42638322710990906,14.123,0.6282,0.4237,0.7183,0.6562
../structures/4j/4j3o.F.pdb,3,-0.4129006266593933,13.671,0.6412,0.4367,0.7346,0.6869
../structures/4j/4j3o.F.pdb,4,-0.4027419984340668,14.101,0.599,0.388,0.701,0.642
../structures/5h/5hk5.H.pdb,0,-1.037095308303833,6.599,0.5462,0.3529,0.6122,0.675
../structures/5h/5hk5.H.pdb,1,-1.0693670511245728,10.779,0.5525,0.3613,0.6032,0.6425
../structures/5h/5hk5.H.pdb,2,-1.0060455799102783,9.625,0.5294,0.334,0.5816,0.6188
../structures/5h/5hk5.H.pdb,3,-1.1573173999786377,7.494,0.563,0.3803,0.6272,0.6543
../structures/5h/5hk5.H.pdb,4,-1.1113743782043457,7.993,0.4916,0.3109,0.5492,0.607
../structures/4n/4nc9.C.pdb,0,-1.040975570678711,22.544,0.3107,0.1705,0.4721,0.393
../structures/4n/4nc9.C.pdb,1,-1.0674878358840942,26.75,0.3266,0.1792,0.49,0.3918
../structures/4n/4nc9.C.pdb,2,-1.0324426889419556,15.1,0.3779,0.2254,0.5272,0.4225
../structures/4n/4nc9.C.pdb,3,-1.0051182508468628,16.178,0.3627,0.2023,0.5443,0.4452
../structures/4n/4nc9.C.pdb,4,-1.068183183670044,22.664,0.3483,0.2052,0.4718,0.4167
../structures/4o/4o0p.A.pdb,0,-2.0042991638183594,24.848,0.1031,0.0448,0.2599,0.2655
../structures/4o/4o0p.A.pdb,1,-1.9110589027404785,25.142,0.1521,0.0706,0.3437,0.2583
../structures/4o/4o0p.A.pdb,2,-1.9741915464401245,20.705,0.1371,0.0541,0.3326,0.2192
../structures/4o/4o0p.A.pdb,3,-1.9515479803085327,19.206,0.1567,0.068,0.3733,0.2489
../structures/4o/4o0p.A.pdb,4,-1.8994994163513184,24.172,0.1402,0.0665,0.3226,0.2901
../structures/4p/4phq.A.pdb,0,-0.6063660383224487,14.18,0.2912,0.1555,0.4534,0.4534
../structures/4p/4phq.A.pdb,1,-0.3164544999599457,9.787,0.3084,0.1658,0.4672,0.497
../structures/4p/4phq.A.pdb,2,-0.3554084897041321,8.96,0.3222,0.1572,0.5065,0.4712
../structures/4p/4phq.A.pdb,3,-0.6637572050094604,11.282,0.305,0.1452,0.449,0.4729
../structures/4p/4phq.A.pdb,4,-0.36911413073539734,8.756,0.3445,0.1675,0.5458,0.4883
../structures/4p/4pyi.A.pdb,0,-0.25516438484191895,2.399,0.7621,0.5411,0.8917,0.7752
../structures/4p/4pyi.A.pdb,1,-0.21208485960960388,2.283,0.7886,0.5688,0.9045,0.7961
../structures/4p/4pyi.A.pdb,2,-0.27119529247283936,2.202,0.7633,0.5423,0.8924,0.7591
../structures/4p/4pyi.A.pdb,3,-0.21892514824867249,2.355,0.7621,0.5411,0.8936,0.778
../structures/4p/4pyi.A.pdb,4,-0.20158977806568146,2.06,0.7983,0.5773,0.9081,0.7771
../structures/4q/4qhf.A.pdb,0,-0.28493624925613403,2.326,0.7706,0.555,0.8257,0.7507
../structures/4q/4qhf.A.pdb,1,-0.15556560456752777,1.838,0.8234,0.6216,0.8719,0.8002
../structures/4q/4qhf.A.pdb,2,-0.12991192936897278,1.504,0.8555,0.6537,0.8922,0.8225
../structures/4q/4qhf.A.pdb,3,-0.25590282678604126,1.924,0.7706,0.5505,0.8394,0.7513
../structures/4q/4qhf.A.pdb,4,-0.21329525113105774,1.95,0.7982,0.594,0.8471,0.7721
../structures/4r/4rwn.A.pdb,0,-0.569718599319458,4.537,0.4957,0.2622,0.7729,0.6055
../structures/4r/4rwn.A.pdb,1,-0.6594772338867188,4.941,0.5007,0.2729,0.7687,0.5905
../structures/4r/4rwn.A.pdb,2,-0.5516777038574219,6.076,0.4828,0.2665,0.7422,0.5801
../structures/4r/4rwn.A.pdb,3,-0.6007925868034363,5.307,0.5057,0.2808,0.7725,0.5903
../structures/4r/4rwn.A.pdb,4,-0.6128306984901428,4.867,0.4792,0.2529,0.7533,0.5979
../structures/4u/4uv2.D.pdb,0,-0.6062347292900085,6.03,0.5576,0.3609,0.6892,0.6265
../structures/4u/4uv2.D.pdb,1,-0.5946057438850403,5.392,0.5685,0.3652,0.7257,0.6304
../structures/4u/4uv2.D.pdb,2,-0.7912765741348267,6.02,0.5207,0.325,0.6811,0.6022
../structures/4u/4uv2.D.pdb,3,-0.7208013534545898,5.838,0.5011,0.3,0.6649,0.6008
../structures/4u/4uv2.D.pdb,4,-0.6968469619750977,5.085,0.562,0.3467,0.7271,0.628
../structures/4y/4y0m.J.pdb,0,-0.4224274754524231,2.591,0.7148,0.4842,0.865,0.7404
../structures/4y/4y0m.J.pdb,1,-0.4766843318939209,2.884,0.7136,0.4879,0.8558,0.7349
../structures/4y/4y0m.J.pdb,2,-0.5402503609657288,2.591,0.7002,0.466,0.8581,0.7142
../structures/4y/4y0m.J.pdb,3,-0.46037355065345764,2.859,0.693,0.4672,0.8339,0.7287
../structures/4y/4y0m.J.pdb,4,-0.5418588519096375,3.321,0.665,0.4405,0.8168,0.7194
../structures/4z/4zrb.C.pdb,0,-0.46252357959747314,6.039,0.8171,0.6423,0.8602,0.7675
../structures/4z/4zrb.C.pdb,1,-0.3468725383281708,5.861,0.8333,0.6524,0.8682,0.7809
../structures/4z/4zrb.C.pdb,2,-0.3983401358127594,5.89,0.8313,0.6362,0.8663,0.7663
../structures/4z/4zrb.C.pdb,3,-0.42028549313545227,5.748,0.813,0.6179,0.8484,0.7507
../structures/4z/4zrb.C.pdb,4,-0.37991103529930115,5.432,0.8211,0.6341,0.8632,0.7712
../structures/5l/5ly6.B.pdb,0,-1.8937208652496338,36.801,0.0743,0.0281,0.1992,0.2133
../structures/5l/5ly6.B.pdb,1,-1.860945463180542,35.766,0.0759,0.0366,0.1927,0.1856
../structures/5l/5ly6.B.pdb,2,-1.7397419214248657,31.283,0.1056,0.0446,0.265,0.2498
../structures/5l/5ly6.B.pdb,3,-1.9064794778823853,31.761,0.0993,0.0462,0.2406,0.2102
../structures/5l/5ly6.B.pdb,4,-1.8539669513702393,31.17,0.0982,0.0366,0.2665,0.2299
../structures/5c/5c1v.A.pdb,0,-0.5188323855400085,3.058,0.6451,0.4132,0.8751,0.6873
../structures/5c/5c1v.A.pdb,1,-0.4794567823410034,2.575,0.6506,0.4125,0.8811,0.6961
../structures/5c/5c1v.A.pdb,2,-0.5071437358856201,2.794,0.6648,0.4282,0.881,0.7003
../structures/5c/5c1v.A.pdb,3,-0.44915255904197693,2.519,0.6562,0.4219,0.8837,0.6912
../structures/5c/5c1v.A.pdb,4,-0.4547044038772583,2.58,0.6506,0.4125,0.8805,0.6942
../structures/5f/5flu.E.pdb,0,-0.6558912992477417,9.012,0.6242,0.411,0.7592,0.6855
../structures/5f/5flu.E.pdb,1,-0.5481595396995544,9.237,0.6564,0.4433,0.7715,0.7025
../structures/5f/5flu.E.pdb,2,-0.5840018391609192,8.173,0.5813,0.3666,0.7274,0.679
../structures/5f/5flu.E.pdb,3,-0.49079689383506775,8.58,0.6304,0.4172,0.7652,0.6826
../structures/5f/5flu.E.pdb,4,-0.5172691941261292,7.909,0.6503,0.4433,0.7619,0.7
../structures/5h/5hmg.A.pdb,0,-1.3288367986679077,34.173,0.0762,0.0404,0.1727,0.2445
../structures/5h/5hmg.A.pdb,1,-1.419220209121704,34.789,0.0884,0.0396,0.2001,0.2161
../structures/5h/5hmg.A.pdb,2,-1.4580497741699219,35.611,0.1037,0.0473,0.2142,0.2246
../structures/5h/5hmg.A.pdb,3,-1.3154617547988892,28.845,0.112,0.045,0.2581,0.2704
../structures/5h/5hmg.A.pdb,4,-1.4191007614135742,32.788,0.0816,0.0389,0.1744,0.2157
../structures/5i/5i2m.A.pdb,0,-1.9942600727081299,43.033,0.0513,0.0226,0.1477,0.187
../structures/5i/5i2m.A.pdb,1,-2.01369047164917,38.132,0.0458,0.0202,0.1401,0.1752
../structures/5i/5i2m.A.pdb,2,-1.9264469146728516,33.317,0.0483,0.0208,0.1565,0.183
../structures/5i/5i2m.A.pdb,3,-2.019078254699707,37.262,0.0477,0.0202,0.164,0.1714
../structures/5i/5i2m.A.pdb,4,-1.9465099573135376,37.335,0.0599,0.0232,0.1826,0.17
../structures/5j/5jzh.A.pdb,0,-1.7419708967208862,35.015,0.0625,0.0289,0.1593,0.2356
../structures/5j/5jzh.A.pdb,1,-1.83432936668396,36.07,0.059,0.0254,0.1627,0.1937
../structures/5j/5jzh.A.pdb,2,-1.753170132637024,35.254,0.066,0.033,0.1766,0.2294
../structures/5j/5jzh.A.pdb,3,-1.7381319999694824,31.753,0.0631,0.0301,0.1695,0.2386
../structures/5j/5jzh.A.pdb,4,-1.859620451927185,32.237,0.0501,0.0218,0.1478,0.1888
../structures/5k/5keq.F.pdb,0,-2.0397281646728516,38.463,0.0418,0.0169,0.1578,0.1561
../structures/5k/5keq.F.pdb,1,-2.038356065750122,41.671,0.0449,0.0185,0.1594,0.1471
../structures/5k/5keq.F.pdb,2,-2.0345535278320312,35.135,0.0439,0.0164,0.15,0.1549
../structures/5k/5keq.F.pdb,3,-2.016633987426758,37.026,0.0375,0.0164,0.1387,0.1428
../structures/5k/5keq.F.pdb,4,-2.0307886600494385,43.474,0.0396,0.0164,0.125,0.1273
../structures/5l/5l35.D.pdb,0,-1.6335707902908325,32.351,0.0883,0.0367,0.2265,0.25
../structures/5l/5l35.D.pdb,1,-1.6161686182022095,31.101,0.0883,0.0462,0.1936,0.2326
../structures/5l/5l35.D.pdb,2,-1.6080257892608643,28.774,0.1137,0.0563,0.2463,0.2879
../structures/5l/5l35.D.pdb,3,-1.5543521642684937,31.553,0.1185,0.0598,0.2378,0.2512
../structures/5l/5l35.D.pdb,4,-1.5468430519104004,37.164,0.0983,0.0527,0.2098,0.2231
../structures/3r/3r9j.C.pdb,0,-0.5635566711425781,10.451,0.525,0.3786,0.51,0.6253
../structures/3r/3r9j.C.pdb,1,-0.5482244491577148,10.501,0.5179,0.375,0.5135,0.6296
../structures/3r/3r9j.C.pdb,2,-0.5207369923591614,10.066,0.5536,0.4143,0.5471,0.6284
../structures/3r/3r9j.C.pdb,3,-0.4349832534790039,11.137,0.5571,0.4036,0.5428,0.6348
../structures/3r/3r9j.C.pdb,4,-0.5652737021446228,10.62,0.55,0.4036,0.5339,0.625
../structures/1c/1cee.B.pdb,0,-0.8194593787193298,9.837,0.3517,0.2161,0.2467,0.5602
../structures/1c/1cee.B.pdb,1,-0.8180308938026428,11.782,0.3136,0.1992,0.2363,0.522
../structures/1c/1cee.B.pdb,2,-0.6799066066741943,13.355,0.3729,0.25,0.2934,0.549
../structures/1c/1cee.B.pdb,3,-0.6426994800567627,12.888,0.3263,0.2119,0.2437,0.4801
../structures/1c/1cee.B.pdb,4,-0.999634861946106,10.339,0.3178,0.2119,0.2559,0.4535
../structures/2h/2h44.A.pdb,0,-0.19276629388332367,5.365,0.6319,0.411,0.8308,0.6785
../structures/2h/2h44.A.pdb,1,-0.2246546894311905,5.74,0.5966,0.3765,0.8175,0.6787
../structures/2h/2h44.A.pdb,2,-0.2650585174560547,5.497,0.6449,0.4241,0.8451,0.6896
../structures/2h/2h44.A.pdb,3,-0.2355596423149109,5.531,0.6097,0.385,0.8211,0.6693
../structures/2h/2h44.A.pdb,4,-0.21503736078739166,5.597,0.6204,0.3965,0.8305,0.6974
../structures/2g/2grm.B.pdb,0,-0.6672653555870056,14.422,0.3373,0.1897,0.5214,0.5246
../structures/2g/2grm.B.pdb,1,-0.6372779011726379,14.145,0.3159,0.173,0.5162,0.5144
../structures/2g/2grm.B.pdb,2,-0.9269468784332275,13.702,0.3508,0.2119,0.5197,0.4791
../structures/2g/2grm.B.pdb,3,-0.6861273646354675,14.453,0.3397,0.1984,0.4981,0.4985
../structures/2g/2grm.B.pdb,4,-0.6661280989646912,13.549,0.3413,0.1905,0.5391,0.5209
../structures/2c/2c1v.B.pdb,0,-0.6227163672447205,4.816,0.4701,0.2425,0.7382,0.5835
../structures/2c/2c1v.B.pdb,1,-0.6382047533988953,4.169,0.5396,0.306,0.8085,0.6109
../structures/2c/2c1v.B.pdb,2,-0.6456090211868286,5.052,0.494,0.2642,0.7567,0.5864
../structures/2c/2c1v.B.pdb,3,-0.5363156199455261,4.442,0.5037,0.2739,0.7709,0.6054
../structures/2c/2c1v.B.pdb,4,-0.63274085521698,8.364,0.5007,0.2769,0.7564,0.5931
../structures/3k/3kds.G.pdb,0,-1.7687448263168335,23.872,0.2254,0.1109,0.4124,0.3224
../structures/3k/3kds.G.pdb,1,-1.9420832395553589,21.223,0.1285,0.0692,0.2667,0.232
../structures/3k/3kds.G.pdb,2,-1.8395459651947021,21.747,0.1737,0.0816,0.3643,0.2979
../structures/3k/3kds.G.pdb,3,-1.8112996816635132,18.795,0.179,0.0698,0.4033,0.2946
../structures/3k/3kds.G.pdb,4,-1.8445795774459839,19.913,0.1397,0.064,0.3413,0.291
../structures/2g/2ged.B.pdb,0,-0.48134946823120117,8.246,0.4632,0.2807,0.5817,0.554
../structures/2g/2ged.B.pdb,1,-0.5505566596984863,8.356,0.5061,0.3206,0.6242,0.5636
../structures/2g/2ged.B.pdb,2,-0.6038897037506104,9.511,0.4632,0.2883,0.5709,0.5445
../structures/2g/2ged.B.pdb,3,-0.5749234557151794,8.529,0.4678,0.2868,0.5685,0.5405
../structures/2g/2ged.B.pdb,4,-0.5367425680160522,8.285,0.477,0.2853,0.6069,0.5748
../structures/2l/2lel.A.pdb,0,-0.5942180752754211,10.855,0.5574,0.3818,0.5406,0.5527
../structures/2l/2lel.A.pdb,1,-0.5982591509819031,10.639,0.5101,0.3345,0.5027,0.5308
../structures/2l/2lel.A.pdb,2,-0.6604810357093811,11.668,0.5608,0.3919,0.5424,0.5539
../structures/2l/2lel.A.pdb,3,-0.5904526710510254,11.822,0.5473,0.3818,0.527,0.5302
../structures/2l/2lel.A.pdb,4,-0.6872749924659729,10.487,0.5507,0.3818,0.5313,0.5539
../structures/2l/2lv1.A.pdb,0,-0.8709724545478821,22.911,0.4218,0.2704,0.5165,0.5139
